File,Sent_ID,Sentence,Length,Category,Average Dependency,sub ID,subject,sub_subset_words,sub_subset_length,sub_subset_char_length,sub_direction,obl ID,obl,obl_subset_words,obl_subset_length,obl_subset_char_length,obl_direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,5,सीएनएन न्यूज़ में आ जाएँगे हम लोग ।,8,obl_vs,1.5,7,लोग,"['लोग', 'हम']",2,5,RL,2,न्यूज़,"['सीएनएन', 'न्यूज़ में']",2,15,Both
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,25,वो इस के साथ आएगा ।,6,s_obl_v,2.5,1,वो,['वो'],1,2,No Direction,2,इस,"['इस के', 'इस साथ']",2,9,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,69,[incomprehensible] अब मग्गा मार रही है ।,7,s_obl_v,1.8,1,[incomprehensible],['[incomprehensible]'],1,18,No Direction,2,अब,['अब'],1,2,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,71,वो तो पहले हो चुका है ।,7,s_obl_v,1.6,1,वो,"['वो', 'तो']",2,4,LR,3,पहले,['पहले'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,121,अभी 10 दिन होगा ।,5,obl_sv,1.6666666666666667,3,दिन,"['दिन', '10']",2,5,RL,1,अभी,['अभी'],1,3,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,127,अरे उस के साथ लगेंगे तो मेरा शादी तुम करोगे क्या ।,12,sv_obl,2.9,9,तुम,['तुम'],1,3,No Direction,11,क्या,['क्या'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,132,तो कौन सुन रहा है हिन्दी में ।,8,sv_obl,1.6666666666666667,2,कौन,['कौन'],1,3,No Direction,6,हिन्दी,['हिन्दी में'],1,9,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,137,ओह उस को समझ में आ रहा है क्या ।,10,sv_obl,2.375,2,उस,['उस को'],1,4,LR,9,क्या,['क्या'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,206,वो अपनी बीवी के संग यहाँ पर घूमने आया था ।,11,s_obl_v,2.5555555555555554,1,वो,['वो'],1,2,No Direction,3,बीवी,"['अपनी', 'बीवी के', 'बीवी संग']",3,17,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,224,ये तो बुड्ढ़ा हो गया होगा अब तो यार ।,10,sv_obl,2.125,1,ये,"['ये', 'तो']",2,4,LR,7,अब,"['अब', 'तो']",2,4,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,229,हम खुद 31 के होने वाले हैं ।,8,s_obl_v,1.8333333333333333,1,हम,"['हम', 'खुद']",2,5,LR,3,31,['31 के'],1,4,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,233,तो तुम्हारा बच्चा कब होने वाला है ।,8,s_obl_v,1.8333333333333333,3,बच्चा,"['बच्चा', 'तुम्हारा']",2,13,RL,4,कब,['कब'],1,2,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,290,वो कम्प्यूटर अपने आप बताएगा नहीं तो तो घंटे भर बात करेंगे ।,14,s_obl_v,3.1666666666666665,8,हम,"['हम', 'तो']",2,4,LR,10,घंटे,"['घंटे', 'भर']",2,6,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,313,तुम्हारे जैसे उतना ठंड तो नहीं रहेगा यहाँ पर ।,10,sv_obl,1.5,4,ठंड,"['ठंड', 'तुम्हारे जैसे', 'उतना', 'तो']",4,21,RL,8,यहाँ,['यहाँ पर'],1,6,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,423,मतलब एमएस और बीटेक में जो डिस्ट्रिब्यूशन ऑल्मोस्ट ईक्वल रहा ।,11,obl_sv,3.2222222222222223,7,डिस्ट्रिब्यूशन,"['डिस्ट्रिब्यूशन', 'जो']",2,16,RL,2,एमएस,"['बीटेक', 'और', 'एमएस में']",3,14,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,17,नहीं पीयूष तो बाद में आया था ना ।,9,s_obl_v,2.2857142857142856,2,पीयूष,"['पीयूष', 'तो']",2,7,LR,4,बाद,['बाद में'],1,6,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,28,वो नहीं चटती क्या [incomprehensible] ।,6,sv_obl,1.5,1,वो,['वो'],1,2,No Direction,4,क्या,['क्या'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,31,सुबह सुबह सवा नौ उठ के हम लोग वहाँ पहुँचे ।,11,s_obl_v,1.8888888888888888,8,लोग,"['लोग', 'हम']",2,5,RL,9,वहाँ,['वहाँ'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,37,संजय पूछ रहा है कुछ इंट्रेस्टिंग लोग आए थे क्या ।,11,sv_obl,1.8888888888888888,7,लोग,"['लोग', 'कुछ', 'इंट्रेस्टिंग']",3,18,RL,10,क्या,['क्या'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,47,चंदर कहाँ ले गया खाने ।,6,s_obl_v,1.5,1,चंदर,['चंदर'],1,4,No Direction,2,कहाँ,['कहाँ'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,56,खान क्यों आएगा ।,4,s_obl_v,1.5,1,खान,['खान'],1,3,No Direction,2,क्यों,['क्यों'],1,5,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,117,बैठो तो अपने आप चलने लगता है क्या ।,9,sv_obl,2.142857142857143,4,आप,"['आप', 'अपने']",2,6,RL,8,क्या,['क्या'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,120,ईरी तक तो पहुँच ही जाती है उस की ।,10,obl_vs,2.125,8,उस,['उस की'],1,4,LR,1,ईरी,"['ईरी तक', 'तो']",2,7,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,129,शायद विपुल वहाँ गया हुआ है ना ।,8,s_obl_v,2.0,2,विपुल,['विपुल'],1,5,No Direction,3,वहाँ,['वहाँ'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,130,विपुल शायद गया होगा पिट्सबर्ग ।,6,sv_obl,1.5,1,विपुल,['विपुल'],1,5,No Direction,5,पिट्सबर्ग,['पिट्सबर्ग'],1,9,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,136,कहाँ जा रहा है दीपक ।,6,obl_vs,1.75,5,दीपक,['दीपक'],1,4,No Direction,1,कहाँ,['कहाँ'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,211,लाइफ़ टाइम पता नहीं कब खतम होगा ।,8,s_obl_v,2.3333333333333335,2,टाइम,"['टाइम', 'लाइफ़']",2,8,RL,5,कब,['कब'],1,2,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,225,अब ये कम चलेगी [incomprehensible] ।,6,obl_sv,1.75,2,ये,['ये'],1,2,No Direction,1,अब,['अब'],1,2,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,316,स्टूडेंट्स को इस का टेंशन नहीं होगा क्या ।,9,sv_obl,2.0,1,स्टूडेंट्स,['स्टूडेंट्स को'],1,12,LR,8,क्या,['क्या'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,364,4 साल हुआ है इस को ।,7,obl_vs,1.2,5,इस,['इस को'],1,4,LR,2,साल,"['साल', '4']",2,4,RL
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,365,4 हो गया क्या ।,5,sv_obl,1.3333333333333333,1,4,['4'],1,1,No Direction,4,क्या,['क्या'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,366,तुम जब आए थे तब आ चुका था ।,9,s_obl_v,1.4285714285714286,1,तुम,['तुम'],1,3,No Direction,2,जब,['जब'],1,2,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,373,याद नहीं आ रहा था कब वो बना था ।,10,obl_sv,1.875,7,वो,['वो'],1,2,No Direction,6,कब,['कब'],1,2,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,382,बाकी ये [incomprehensible] को निकाल रहे हैं क्या ।,9,sv_obl,2.0,3,[incomprehensible],"['ये', '[incomprehensible] को']",2,22,Both,8,क्या,['क्या'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,386,उस का क्या होता है ।,6,s_obl_v,1.5,1,उस,['उस का'],1,4,LR,3,क्या,['क्या'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,391,वही वाला जैसे रहता है ना शूमाकर लेक्चर में ।,10,sv_obl,1.875,1,वही,"['वही वाला', 'वही जैसे']",2,14,LR,8,लेक्चर,"['शूमाकर', 'लेक्चर में']",2,15,Both
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,405,कैसे क्या क्या चेंज हुआ था ।,7,obl_sv,2.0,2,क्या,"['क्या', 'क्या']",2,8,LR,1,कैसे,['कैसे'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,407,कैसे ये कॉलेज बना ।,5,obl_sv,1.6666666666666667,3,कॉलेज,"['कॉलेज', 'ये']",2,7,RL,1,कैसे,['कैसे'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,441,एक्चुअली हम लोग या तो उस के बाद में जैसे [incomprehensible] गए ।,13,s_obl_v,3.727272727272727,3,लोग,"['लोग', 'हम']",2,5,RL,6,उस,"['या', 'तो', 'उस के', 'उस बाद', 'उस में', 'उस जैसे']",6,24,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,481,तुम्हारे पास टेप नहीं ना पहुँचेगा ।,7,obl_sv,2.4,3,टेप,['टेप'],1,3,No Direction,1,तुम्हारे,['तुम्हारे पास'],1,11,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,491,[incomprehensible] अभी 20 मिनट और होगा ।,7,obl_sv,2.6,4,मिनट,"['मिनट', '20', 'और']",3,8,Both,2,अभी,['अभी'],1,3,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,529,और मतलब मैं 8 10 घंटे के लिए गया था ।,11,s_obl_v,3.3333333333333335,3,मैं,['मैं'],1,3,No Direction,6,घंटे,"['10', '8', 'घंटे के', 'घंटे लिए']",4,16,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,534,मैं सैटर्डे ईवनिंग में निकल गया ।,7,s_obl_v,1.8,1,मैं,['मैं'],1,3,No Direction,3,ईवनिंग,"['सैटर्डे', 'ईवनिंग में']",2,16,Both
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,30,और यहाँ पे बर्फ़ वर्फ़ पड़ रही है ।,9,obl_sv,2.2857142857142856,4,बर्फ़,"['बर्फ़', 'वर्फ़']",2,8,LR,2,यहाँ,['यहाँ पे'],1,6,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,34,मैं तो वहाँ पर देखी नहीं कभी जहाँ हम रहते हैं ।,12,obl_sv,2.2,9,हम,['हम'],1,2,No Direction,8,जहाँ,['जहाँ'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,71,पढ़ाई वढ़ाई कैसी चल रही है ।,7,s_obl_v,1.6,1,पढ़ाई,"['पढ़ाई', 'वढ़ाई']",2,8,LR,3,कैसी,['कैसी'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,111,22 तारीख हो गई आज ।,6,sv_obl,1.25,2,तारीख,"['तारीख', '22']",2,7,RL,5,आज,['आज'],1,2,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,114,तो 22 तक का आज तक खत्म हो जाना चहिए ।,11,s_obl_v,2.6666666666666665,2,22,"['22 तक', '22 का']",2,8,LR,5,आज,['आज तक'],1,4,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,116,सोच तो यही रही थी कि उसी हिसाब से पढ़ें पर अभी 1 2 दिन से पता नहीं बड़ा सब गड़बड़ हो गया मामला ।,25,obl_vs,3.347826086956522,24,मामला,['मामला'],1,5,No Direction,15,दिन,"['2', '1', 'दिन से']",3,7,Both
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,126,पर उस टाइम में फ़िर गुड़िया इतना परेशान करती है ।,11,obl_sv,2.888888888888889,6,गुड़िया,['गुड़िया'],1,7,No Direction,3,टाइम,"['उस', 'टाइम में']",2,9,Both
