File,Sent_ID,Sentence,Length,Category,Average Dependency
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,2,मल्‍लों की राजधानी होने के कारण प्राचीनकाल में इस स्‍थान का अत्‍यंत महत्‍व था ।,15,obl_sv,2.4615384615384617
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,6,"1876 में यह स्‍थान एक बार फिर प्रकाश में आया, जब तत्‍कालीन पुरातत्‍ववेत्‍ता लॉर्ड कर्निंघम ने महापरिनिर्वाण मूर्ति की खोज की ।",22,obl_sv,3.55
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,18,इस मंदिर के आसपास कई विहार (जहाँ बौद्ध भिक्षु रहा करते थे) और चैत्‍य (जहाँ भिक्षु पूजा करते थे या ध्‍यान लगाते थे) भग्‍नावशेष और खंडहर मौजूद हैं जो अशोककालीन बताए जाते हैं ।,34,obl_sv,5.0625
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,18,इस मंदिर के आसपास कई विहार (जहाँ बौद्ध भिक्षु रहा करते थे) और चैत्‍य (जहाँ भिक्षु पूजा करते थे या ध्‍यान लगाते थे) भग्‍नावशेष और खंडहर मौजूद हैं जो अशोककालीन बताए जाते हैं ।,34,obl_sv,5.0625
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,19,"मंदिर परिसर से लगा काफी बड़ा सा पार्क है, जहाँ पर्यटकों का जमावड़ा लगा रहता है ।",17,obl_sv,2.1333333333333333
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,22,इसके स्‍थानीय लोगों में भगवान विष्‍णु के अवतार होने की मान्‍यता भी प्रचलित है ।,15,obl_sv,1.6923076923076923
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,23,इस मूर्ति के भी करीब पाँच सौ वर्ष पुराना होने का प्रमाण मिलता है ।,15,s_obl_v,1.8461538461538463
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,24,माथा कुँवर की मूर्ति काले पत्‍थर से बनी है ।,10,s_obl_v,1.625
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,63,ठीक सामने मौजूद पगोडा के ऊपर बँधी घंटियाँ सुरम्‍य और शांत वातावरण में जब बजती हैं तो लगता है कि ये सभी दिशाओं में अहिंसा और प्रेम का संदेश दे रहीं हों ।,33,s_obl_v,2.806451612903226
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,77,इनमें से पथिक निवास उत्तरप्रदेश पर्यटन विकास निगम की ओर से संचालित होता है ।,15,s_obl_v,2.5384615384615383
