"X","lang","dtype","sent_id","length","max_arity","avg_arity","projD","gapD","illnest","edgex","dir","dd","proj","edgeD","endPoint","HDD","HD"
1174421,"/hi","random",2,6,2,0.857142857142857,4,1,0,"(2, 1)","RL",1,1,0,0,0,1
1174422,"/hi","random",2,6,2,0.857142857142857,4,1,0,"(3, 4)","LR",1,1,0,0,0,1
1174423,"/hi","random",2,6,2,0.857142857142857,4,1,0,"(3, 6)","LR",3,1,0,0,0,2
1174424,"/hi","random",2,6,2,0.857142857142857,4,1,0,"(4, 2)","RL",2,0,1,1,2,2
1174425,"/hi","random",2,6,2,0.857142857142857,4,1,0,"(6, 5)","RL",1,1,0,0,0,1
1174426,"/hi","random",3,6,2,0.857142857142857,3,0,0,"(1, 2)","LR",1,1,0,0,0,1
1174427,"/hi","random",3,6,2,0.857142857142857,3,0,0,"(1, 3)","LR",2,1,0,0,0,1
1174428,"/hi","random",3,6,2,0.857142857142857,3,0,0,"(4, 1)","RL",3,1,0,0,0,1
1174429,"/hi","random",3,6,2,0.857142857142857,3,0,0,"(4, 6)","LR",2,1,0,0,0,1
1174430,"/hi","random",3,6,2,0.857142857142857,3,0,0,"(6, 5)","RL",1,1,0,0,0,1
1174431,"/hi","random",5,5,3,0.833333333333333,3,0,0,"(1, 2)","LR",1,1,0,0,0,1
1174432,"/hi","random",5,5,3,0.833333333333333,3,0,0,"(1, 3)","LR",2,1,0,0,0,1
1174433,"/hi","random",5,5,3,0.833333333333333,3,0,0,"(1, 5)","LR",4,1,0,0,0,1
1174434,"/hi","random",5,5,3,0.833333333333333,3,0,0,"(5, 4)","RL",1,1,0,0,0,1
1174435,"/hi","random",8,9,2,0.9,7,0,0,"(1, 2)","LR",1,1,0,0,0,1
1174436,"/hi","random",8,9,2,0.9,7,0,0,"(1, 4)","LR",3,1,0,0,0,1
1174437,"/hi","random",8,9,2,0.9,7,0,0,"(4, 3)","RL",1,1,0,0,0,1
1174438,"/hi","random",8,9,2,0.9,7,0,0,"(4, 9)","LR",5,1,0,0,0,4
1174439,"/hi","random",8,9,2,0.9,7,0,0,"(5, 6)","LR",1,1,0,0,0,1
