File,Sent_ID,Sentence,Length,Word Order,Category,dependency length
../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,1,रामायण काल में भगवान राम के पुत्र कुश की राजधानी कुशावती को 483 ईसा पूर्व बुद्ध ने अपने अंतिम विश्राम के लिए चुना ।,24,OSV,Transitive,3.3181818181818183
../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,53,पौधों का विशेष आकार भी पर्यटकों को अपनी ओर खींचता है ।,12,SOV,Transitive,2.1
../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,55,लोग बरबस इस सोने की परत चढ़े चैत्‍य के साथ फोटो खींचना चाहते हैं ।,15,SOV,Transitive,3.076923076923077
../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,69,यहाँ पहुँचने के लिए सबसे नजदीकी रेलवे स्‍टेशन गोरखपुर रेलवे जंक्‍शन है ।,13,SOV,Transitive,2.3636363636363638
../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,75,कुशीनगर में सैलानियों के ठहरने के लिए हर श्रेणी के आरामदायक होटल मौजूद हैं ।,15,SOV,Transitive,2.923076923076923
../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,83,"प्रागैतिहासिक काल से ऋषि - मुनियों और साधक, परिव्राजकों को यह आकर्षित करता आ रहा है ।",16,OSV,Transitive,2.5714285714285716
../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,110,"नवाज शरीफ ने जेद्दा में एक अमेरिकी टेलीविजन चैनल से बातचीत करते हुए कहा कि उनकी सरकार भारत से समान संप्रभु भागीदार की हैसियत से बातचीत करती थी, लेकिन परवेज मुशर्रफ की नीति इसके उलट है ।",37,SOV,Transitive,3.2857142857142856
../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,114,उन्होंने मुशर्रफ पर एजेंडा बदलने और पीछे हटने का आरोप भी लगाया ।,13,SOV,Transitive,3.4545454545454546
../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,117,उन्होंने यह भी कहा कि तब तत्कालीन भारतीय प्रधानमंत्री अटल बिहारी वाजपेयी ने खुद अपनी मर्जी से लाहौर की यात्रा की थी और लाहौर घोषणा पर हस्ताक्षर हुआ था ।,30,SOV,Transitive,3.857142857142857
../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,119,"शरीफ ने कहा कि तब वाजपेयी ने मुझसे कहा था कि वे वर्ष, १९९९ को कश्मीर समस्या के समाधान वर्ष के रूप में याद करना चाहेंगे ।",27,SOV,Transitive,4.16
../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,121,अब तो मुशर्रफ एक बयान देते हैं और अगले दिन उस पर पलट जाते हैं ।,16,SOV,Transitive,2.4285714285714284
