File,Sent_ID,Sentence,Length,Category,Average Dependency,sub ID,subject,sub_subset_words,sub_subset_length,sub_subset_char_length,sub_direction,obl ID,obl,obl_subset_words,obl_subset_length,obl_subset_char_length,obl_direction
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,2,मल्‍लों की राजधानी होने के कारण प्राचीनकाल में इस स्‍थान का अत्‍यंत महत्‍व था ।,15,obl_sv,2.4615384615384617,13,महत्‍व,"['महत्\u200dव', 'इस', 'स्\u200dथान का', 'अत्\u200dयंत']",4,23,RL,7,प्राचीनकाल,['प्राचीनकाल में'],1,13,LR
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,6,"1876 में यह स्‍थान एक बार फिर प्रकाश में आया, जब तत्‍कालीन पुरातत्‍ववेत्‍ता लॉर्ड कर्निंघम ने महापरिनिर्वाण मूर्ति की खोज की ।",22,obl_sv,3.55,16,कर्निंघम,"['पुरातत्\u200dववेत्\u200dता', 'तत्\u200dकालीन', 'लॉर्ड', 'कर्निंघम ने']",4,40,RL,12,जब,['जब'],1,2,No Direction
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,18,इस मंदिर के आसपास कई विहार (जहाँ बौद्ध भिक्षु रहा करते थे) और चैत्‍य (जहाँ भिक्षु पूजा करते थे या ध्‍यान लगाते थे) भग्‍नावशेष और खंडहर मौजूद हैं जो अशोककालीन बताए जाते हैं ।,34,obl_sv,5.0625,10,भिक्षु,"['भिक्षु', 'बौद्ध']",2,11,RL,8,जहाँ,['जहाँ'],1,4,No Direction
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,18,इस मंदिर के आसपास कई विहार (जहाँ बौद्ध भिक्षु रहा करते थे) और चैत्‍य (जहाँ भिक्षु पूजा करते थे या ध्‍यान लगाते थे) भग्‍नावशेष और खंडहर मौजूद हैं जो अशोककालीन बताए जाते हैं ।,34,obl_sv,5.0625,19,भिक्षु,['भिक्षु'],1,6,No Direction,18,जहाँ,['जहाँ'],1,4,No Direction
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,19,"मंदिर परिसर से लगा काफी बड़ा सा पार्क है, जहाँ पर्यटकों का जमावड़ा लगा रहता है ।",17,obl_sv,2.1333333333333333,14,जमावड़ा,"['जमावड़ा', 'पर्यटकों का']",2,17,RL,11,जहाँ,['जहाँ'],1,4,No Direction
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,22,इसके स्‍थानीय लोगों में भगवान विष्‍णु के अवतार होने की मान्‍यता भी प्रचलित है ।,15,obl_sv,1.6923076923076923,8,अवतार,"['अवतार', 'भगवान', 'विष्\u200dणु के']",3,19,RL,3,लोगों,"['इसके', 'स्\u200dथानीय', 'लोगों में']",3,20,RL
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,23,इस मूर्ति के भी करीब पाँच सौ वर्ष पुराना होने का प्रमाण मिलता है ।,15,s_obl_v,1.8461538461538463,2,मूर्ति,"['इस', 'मूर्ति के', 'भी']",3,12,LR,8,वर्ष,"['वर्ष', 'सौ', 'करीब', 'पाँच']",4,14,RL
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,24,माथा कुँवर की मूर्ति काले पत्‍थर से बनी है ।,10,s_obl_v,1.625,4,मूर्ति,"['मूर्ति', 'माथा', 'कुँवर की']",3,17,RL,6,पत्‍थर,"['काले', 'पत्\u200dथर से']",2,12,Both
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,63,ठीक सामने मौजूद पगोडा के ऊपर बँधी घंटियाँ सुरम्‍य और शांत वातावरण में जब बजती हैं तो लगता है कि ये सभी दिशाओं में अहिंसा और प्रेम का संदेश दे रहीं हों ।,33,s_obl_v,2.806451612903226,21,ये,['ये'],1,2,No Direction,23,दिशाओं,"['सभी', 'दिशाओं में']",2,12,Both
../../UD_Hindi-HDTB\hi_hdtb-ud-dev.conllu,77,इनमें से पथिक निवास उत्तरप्रदेश पर्यटन विकास निगम की ओर से संचालित होता है ।,15,s_obl_v,2.5384615384615383,4,निवास,"['निवास', 'इनमें से', 'पथिक']",3,16,RL,8,निगम,"['उत्तरप्रदेश', 'पर्यटन', 'विकास', 'निगम की', 'निगम ओर', 'निगम से']",6,40,Both
