"lang","dtype","sent_id","length","avg_arity","max_arity","projD","maxHD","avgDD","Genre"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",3,10,0.909090909090909,4,4,3,2.77777777777778,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",5,7,0.875,3,3,2,2.5,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",6,6,0.857142857142857,3,3,1,1.6,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",8,3,0.75,1,3,1,1.5,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",15,4,0.8,2,3,1,2,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",21,6,0.857142857142857,3,3,2,2.4,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",22,7,0.875,4,3,2,2,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",23,8,0.888888888888889,3,3,2,2.57142857142857,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",24,8,0.888888888888889,3,4,2,1.57142857142857,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",25,5,0.833333333333333,2,3,1,1.25,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",26,5,0.833333333333333,3,3,1,2.5,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",30,10,0.909090909090909,5,3,3,3.11111111111111,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",32,4,0.8,2,3,1,1.33333333333333,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",33,10,0.909090909090909,3,5,4,3.11111111111111,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",35,9,0.9,3,4,3,3,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",36,7,0.875,3,4,3,2.33333333333333,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",37,5,0.833333333333333,2,3,2,2,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",38,5,0.833333333333333,3,3,2,2,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",44,4,0.8,2,3,2,1.66666666666667,"Dialouge"
"../parse_gold_filttered/Phase1/hi_1385_gold.conllu","random",47,7,0.875,5,3,2,2.16666666666667,"Dialouge"
