File,Sent_ID,Sentence,Length,Category,dep_Length,Dependency Length
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,29,अपने बीवी के साथ आएगा ।,6,nmod,1,1.75
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,73,तो [incomprehensible] का पढ़ाई हो गया ।,7,nmod,2,1.8
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,94,अपना केडैंस में इधर उधर जाने का मौका मिलता है कि वहीं कैलिफ़ोर्निया में ही ।,16,nmod,1,1.8571428571428572
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,94,अपना केडैंस में इधर उधर जाने का मौका मिलता है कि वहीं कैलिफ़ोर्निया में ही ।,16,nmod,4,1.8571428571428572
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,124,हाँ ये इन सब का लाइब्रेरीज़ होता है ।,9,nmod,3,2.4285714285714284
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,157,अरे उस के साथ लगेंगे तो मेरा शादी तुम करोगे क्या ।,12,nmod,1,2.9
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,184,मेरा आवाज़ हर जगह जाएगा तब ।,7,nmod,1,1.4
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,186,लेकिन 15 मिनट कॉल के लिए बहुत झंझट है ये सब ।,12,nmod,2,2.2
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,200,लेकिन एरिया में है कि अपनी कन्या के संग घूम रहा है ।,13,nmod,1,2.4545454545454546
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,202,उस का कन्या कौन है ।,6,nmod,2,1.25
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,225,मेरा नाम मत लेना इस कन्वर्सेशन में ।,9,nmod,1,1.5714285714285714
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,230,तुम अपना नाम जितना बदनाम कर सकते हो कर लो ।,11,nmod,1,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,245,1 2 दिन की छुट्टी ले कर 4 दिन के लिए जाऊँगा ।,13,nmod,4,1.8181818181818181
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,246,ओए तुम्हारे दुश्मन की शादी हो गई ।,8,nmod,1,1.8333333333333333
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,246,ओए तुम्हारे दुश्मन की शादी हो गई ।,8,nmod,3,1.8333333333333333
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,253,उस की [incomprehensible] तो बताया था तुम्हें शायद राइट ।,10,nmod,2,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,255,उस की शादी हो गई ।,6,nmod,2,1.25
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,257,वो अपनी बीवी के संग यहाँ पर घूमने आया था ।,11,nmod,1,2.5555555555555554
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,260,उस की बीवी उसी की तरह है ।,9,nmod,2,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,266,भई ये सब तुम्हारे एडजेक्टिव हमें समझ में नहीं आते हैं ।,12,nmod,1,2.8
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,267,ढीठ का मतलब पता नहीं है ।,7,nmod,2,1.4
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,286,तो तुम्हारा बच्चा कब होने वाला है ।,8,nmod,1,1.8333333333333333
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,298,आयोवा सिटी के बंदों से मिलते हो कि वहाँ पर ये लोग हैं ना क्या नाम है उस का [anonymized] ।,21,nmod,3,2.0526315789473686
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,312,उस का बच्चा हो गया ।,6,nmod,2,1.25
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,323,मतलब शैनन तो अभिजीत की भी पत्नी रह चुकी कुछ समय के लिए ना ।,16,nmod,3,3.0714285714285716
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,337,और सब का नाम बदनाम करोगे क्या ।,8,nmod,2,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,338,अभी अपने रिकॉर्डिंग में भेज रहे हो पूरा यूएस में ।,11,nmod,1,1.8888888888888888
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,362,तुम्हारी कार का बल्ब ही निकल के गिर गया ।,10,nmod,1,1.625
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,362,तुम्हारी कार का बल्ब ही निकल के गिर गया ।,10,nmod,3,1.625
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,364,चलाते चले जा रहे थे कि उस का बल्ब निकल के गिर गया ।,15,nmod,2,2.923076923076923
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,367,तुम्हारे जैसे उतना ठंड तो नहीं रहेगा यहाँ पर ।,10,nmod,2,1.5
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,391,तो मतलब कुछ दिन की छुट्टी उस के संग बिताओगे ज़रूर हाँ ।,13,nmod,3,3.090909090909091
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,396,वो उस का पता नहीं उस का दिमाग ठीक है या नहीं ।,13,nmod,2,1.9090909090909092
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,414,फ़ैमिली वैमिली के मेंबर को बुलाने के मूड में हो क्या ।,12,nmod,3,1.6
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,414,फ़ैमिली वैमिली के मेंबर को बुलाने के मूड में हो क्या ।,12,nmod,7,1.6
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,417,क्योंकि मेरी मम्मी ऑस्ट्रेलिया जाएगी तो वहाँ से ले आने के लिए सोच रहा हूँ ।,16,nmod,1,2.7857142857142856
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,419,तुम्हारी अम्मा जी ऑस्ट्रेलिया क्यों जा रही हैं ।,9,nmod,1,1.7142857142857142
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,436,और तो तुम्हारे कानपुर में क्या किया बे ।,9,nmod,1,2.5714285714285716
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,474,हाँ 50 पर्सेंट से ज़्यादा ही ए देते हैं वहाँ पर तो ।,13,nmod,5,2.272727272727273
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,524,स्कॉलरशिप का सीन अच्छा हो गया वैसे ।,8,nmod,2,1.5
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,529,हमारा समय में बर्क्ली कोई गया ही नहीं था ।,10,nmod,1,1.875
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,537,यूपेन टाइप जगह गए थे ।,6,nmod,2,1.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,31,सुबह सुबह सवा नौ उठ के हम लोग वहाँ पहुँचे ।,11,nmod,1,1.8888888888888888
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,41,चंदर वंदर अपने सारे पुराने स्टूडेंट्को खाने वाने पर ले गया ।,13,nmod,1,2.727272727272727
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,46,और उस की वाइफ़ लोग को भी ले गया ।,10,nmod,2,2.375
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,68,उस को ठीक करने की कोशिश कर रह था ।,10,nmod,5,1.5
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,72,वो तो कहा था कि उस का भाई खरीदा है ।,11,nmod,2,2.111111111111111
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,104,वोल्वो का क्या हुआ ।,5,nmod,2,1.3333333333333333
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,150,तुम्हारा जंक मेल कितना सा आ के पड़ा हुआ था ।,11,nmod,1,1.7777777777777777
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,171,और तुम्हारी पैटी का क्या हाल है ।,8,nmod,1,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,188,जल्दी अपना पढ़ाई लिखाई खतम करो तो ।,8,nmod,1,1.8333333333333333
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,197,इस गाड़ी का ये ब्रेक ठीक करवाने के लिए रखे हुए हम ।,13,nmod,3,1.6363636363636365
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,244,तो यहाँ के एड्रेस पे कर लो ।,8,nmod,2,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,245,पेन्सिल्वेनिया के एड्रेस पे कर लो ।,7,nmod,2,1.4
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,265,तो काम का टेंशन हो गया ।,7,nmod,2,1.8
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,279,अगले वीकेंड पे तो पीयूष के यहाँ जाऊँगा उस के बाद आऊँगा ।,13,nmod,2,2.1818181818181817
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,306,बेसिक्ली नम्बर्ज़ का जैसे बात हो रहा था ।,9,nmod,2,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,322,स्टूडेंट्स को इस का टेंशन नहीं होगा क्या ।,9,nmod,2,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,410,वो पूरा आयरनमेकिंग का हिस्ट्री सुना गया ।,8,nmod,2,2.1666666666666665
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,417,तो तरह का सुनाया ।,7,nmod,3,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,435,नहीं उस का कन्या का फ़ोन था ।,8,nmod,2,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,440,शराब के नशे में मदहोश है क्या बोला ।,9,nmod,2,1.5714285714285714
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,443,भई शराब के नशे में मदहोश ।,7,nmod,2,2.2
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,471,पैम का तो कोई फ़ोन वोन नहीं आया ।,9,nmod,3,1.8571428571428572
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,552,वैसे संडे की फ्लाइट भी ठीक नहीं ।,8,nmod,2,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,50,यहीं का सब आता था देखने में ।,8,nmod,2,1.3333333333333333
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,90,उस के हिसाब से 15 दिन में खत्म कर लेना अपना सारा का सारा पढ़ाई का ।,17,nmod,2,2.2666666666666666
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,125,हाँ वो घड़ी के हिसाब से तो सही है ।,10,nmod,2,2.875
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,144,[incomprehensible] की गवाही भी आएगी ।,6,nmod,2,1.5
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,160,संजू का भी फ़ोन आना था ।,7,nmod,3,1.6
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,167,नहीं तो उस की फ़्लाइट अभी थोड़ी है ।,9,nmod,2,2.5714285714285716
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,173,हमारे यहाँ 22 है तो वहाँ भी 22 हो गई ना ।,12,nmod,1,2.1
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,175,23 की सुबह हो गई ।,6,nmod,2,1.25
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,176,23 की सुबह हो गई ।,6,nmod,2,1.25
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,198,और देखते हैं अपने क्या क्या कागज़ात आते हैं वहाँ से ।,12,nmod,1,1.9
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,203,दूसरे के भरोसे करो काम तो यही होता है ।,10,nmod,2,1.625
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,211,आगे का भी कुछ काम हो ।,7,nmod,3,1.8
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,228,मीरा चली गई अपनी माँ के यहाँ ।,8,nmod,1,1.8333333333333333
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,235,मतलब अभी क्या है ना अपना वो सब खत्म हो गया ।,12,nmod,1,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,240,अपना घर होता है ।,5,nmod,1,1.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,241,अपनी चीज होती है अलग बात होती है ।,9,nmod,1,1.4285714285714286
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,282,एक उस के अनीता के मसाले भी वापस करने हैं ।,11,nmod,2,2.4444444444444446
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,282,एक उस के अनीता के मसाले भी वापस करने हैं ।,11,nmod,2,2.4444444444444446
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,315,वो मेडिकल की तैयारी कर रहा था ।,8,nmod,2,1.8333333333333333
