File,Sent_ID,Sentence,Length,Category,Average Dependency
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,5,सीएनएन न्यूज़ में आ जाएँगे हम लोग ।,8,obl_vs,1.5
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,25,वो इस के साथ आएगा ।,6,s_obl_v,2.5
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,69,[incomprehensible] अब मग्गा मार रही है ।,7,s_obl_v,1.8
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,71,वो तो पहले हो चुका है ।,7,s_obl_v,1.6
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,121,अभी 10 दिन होगा ।,5,obl_sv,1.6666666666666667
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,127,अरे उस के साथ लगेंगे तो मेरा शादी तुम करोगे क्या ।,12,sv_obl,2.9
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,132,तो कौन सुन रहा है हिन्दी में ।,8,sv_obl,1.6666666666666667
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,137,ओह उस को समझ में आ रहा है क्या ।,10,sv_obl,2.375
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,206,वो अपनी बीवी के संग यहाँ पर घूमने आया था ।,11,s_obl_v,2.5555555555555554
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,224,ये तो बुड्ढ़ा हो गया होगा अब तो यार ।,10,sv_obl,2.125
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,229,हम खुद 31 के होने वाले हैं ।,8,s_obl_v,1.8333333333333333
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,233,तो तुम्हारा बच्चा कब होने वाला है ।,8,s_obl_v,1.8333333333333333
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,290,वो कम्प्यूटर अपने आप बताएगा नहीं तो तो घंटे भर बात करेंगे ।,14,s_obl_v,3.1666666666666665
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,313,तुम्हारे जैसे उतना ठंड तो नहीं रहेगा यहाँ पर ।,10,sv_obl,1.5
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,423,मतलब एमएस और बीटेक में जो डिस्ट्रिब्यूशन ऑल्मोस्ट ईक्वल रहा ।,11,obl_sv,3.2222222222222223
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,17,नहीं पीयूष तो बाद में आया था ना ।,9,s_obl_v,2.2857142857142856
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,28,वो नहीं चटती क्या [incomprehensible] ।,6,sv_obl,1.5
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,31,सुबह सुबह सवा नौ उठ के हम लोग वहाँ पहुँचे ।,11,s_obl_v,1.8888888888888888
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,37,संजय पूछ रहा है कुछ इंट्रेस्टिंग लोग आए थे क्या ।,11,sv_obl,1.8888888888888888
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,47,चंदर कहाँ ले गया खाने ।,6,s_obl_v,1.5
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_4370_gold.conllu,56,खान क्यों आएगा ।,4,s_obl_v,1.5
