File,Sent_ID,Sentence,Length,Word Order,Category,dependency length
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,47,मैं ने बुक कर दिया ऑलरेडी ।,8,SOV,Transitive,1.8333333333333333
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,77,तो वो एटीएंडटी में काम कर रही है कि केवल ये कम्प्यूटर के लिए जा रही है ।,18,SOV,Transitive,2.75
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,79,एटीएंडटी में उस को ऑनरेरि ऑफ़िस मिला हुआ है और कम्प्यूटर ऐक्सेस है ।,14,SOV,Transitive,2.1666666666666665
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,98,अबे लाइब्रेरी डेवलपमेंट में तुम क्या करोगे ।,8,SOV,Transitive,2.5
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,108,हाँ ये इन सब का लाइब्रेरीज़ होता है ।,9,SOV,Transitive,2.4285714285714284
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,129,तो छुट्टी में तुम क्या करोगे ।,7,SOV,Transitive,2.6
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,140,तेलुगु तो हमे नहीं आती ना ।,7,OSV,Transitive,1.8
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,168,वो उस के साथ काम करती है सन के संग ।,11,SOV,Transitive,2.111111111111111
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,181,तुम अपना नाम जितना बदनाम कर सकते हो कर लो ।,11,SOV,Transitive,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,215,भई ये सब तुम्हारे एडजेक्टिव हमें समझ में नहीं आते हैं ।,12,OSV,Transitive,2.8
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,222,वो शायद 24 25 साल की होगी ।,8,SOV,Transitive,2.6666666666666665
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,264,बिनोज ने तो उस लड़की से शादी कर ली थी ना ।,12,SOV,Transitive,2.2
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,269,और अभिजीत कोई और मोटी से शादी कर लिया ।,10,SOV,Transitive,2.625
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,270,मतलब शैनन तो अभिजीत की भी पत्नी रह चुकी कुछ समय के लिए ना ।,16,SOV,Transitive,3.0714285714285716
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,283,और वहाँ ऐसा कौन है जिसे हम जानते हों ।,10,OSV,Transitive,1.875
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,312,वो इंश्योरेंस कवर कर लेगा ।,6,OSV,Transitive,1.75
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,321,तुम तो बैकपैकिंग करते हो ना तुम बोल रहे थे ।,11,OSV,Transitive,1.7777777777777777
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,361,क्योंकि मेरी मम्मी ऑस्ट्रेलिया जाएगी तो वहाँ से ले आने के लिए सोच रहा हूँ ।,16,SOV,Transitive,2.7857142857142856
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_1385_gold.conllu,363,तुम्हारी अम्मा जी ऑस्ट्रेलिया क्यों जा रही हैं ।,9,SOV,Transitive,1.7142857142857142
